[2021-10-28 22:18:43,751] [INFO] ************************************* Maxims_VMP_Report Start *************************************
[2021-10-28 22:18:43,751] [INFO] ['Maxims_VMP_Report.py']
[2021-10-28 22:18:43,752] [INFO] ************************************* readCSV Start *************************************
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'File ID', 'File Date', 'MID', 'MID name']
[2021-10-28 22:18:43,754] [INFO] ['`RH', '`852000058140011_20211027', '`20211027', '`852000058140011', '`Maxims MX']
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'Settlement Date', 'Terminal ID', 'Batch Number', 'Transaction Date', 'Transaction Time', 'Settlement no', 'Payment Type', 'Currency', 'Wallet Version', 'FX Rate', 'Transaction amount HKD', 'Transaction amount RMB', 'MDR Fee HKD', 'MDR', 'Net Amount HKD', 'Trace Number', 'Trans Type', 'RRN', 'Merchant RRN', 'User confirm key']
[2021-10-28 22:18:43,757] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`080134', '`2021102722001356091407754680', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`36', '`', '`0.43', '`', '`35.57', '`7985849', '`S', '`58140011000070111tdav21fq293', '`04998904831600102722', '`852000058140011']
[2021-10-28 22:18:43,758] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`080614', '`2021102722001317851406789529', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`27', '`', '`0.32', '`', '`26.68', '`7986154', '`S', '`58140011000070111tdav2699603', '`04998904831800102702', '`852000058140011']
[2021-10-28 22:18:43,758] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`082136', '`2021102722001304911417414322', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`26', '`', '`0.31', '`', '`25.69', '`7987175', '`S', '`58140011000070111tdav2knc645', '`04998904831900102726', '`852000058140011']
[2021-10-28 22:18:43,758] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`082337', '`2021102722001359821414340431', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`32', '`', '`0.38', '`', '`31.62', '`7987323', '`S', '`58140011000070111tdav2mvt794', '`04998904832000102727', '`852000058140011']
[2021-10-28 22:18:43,758] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`083652', '`2021102722001346221407340641', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`32', '`', '`0.38', '`', '`31.62', '`7988198', '`S', '`58140011000070111tdav33r3681', '`04998904832200102742', '`852000058140011']
[2021-10-28 22:18:43,759] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`084404', '`2021102722001341111410353617', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`62', '`', '`0.74', '`', '`61.26', '`7988687', '`S', '`58140011000070111tdav3a96181', '`04998904832400102756', '`852000058140011']
[2021-10-28 22:18:43,759] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`085103', '`2021102722001370921422082243', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`36', '`', '`0.43', '`', '`35.57', '`7989070', '`S', '`58140011000070111tdav3hk7564', '`04998904832500102750', '`852000058140011']
[2021-10-28 22:18:43,760] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`085259', '`2021102722001373031403792535', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`32.5', '`', '`0.39', '`', '`32.11', '`7989203', '`S', '`58140011000070111tdav3j2l698', '`04998904832700102748', '`852000058140011']
[2021-10-28 22:18:43,760] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`085715', '`2021102722001346731407095237', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`38.5', '`', '`0.46', '`', '`38.04', '`7989443', '`S', '`58140011000070111tdav3odv947', '`04998904832800102708', '`852000058140011']
[2021-10-28 22:18:43,761] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`085846', '`2021102722001355931441309015', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`28.5', '`', '`0.34', '`', '`28.16', '`7989532', '`S', '`58140011000070111tdav3opl039', '`04998904832900102735', '`852000058140011']
